c very bad maxflow problem
p max 1022 1531
a 306 307 255
a 307 308 255
a 308 309 255
a 309 310 255
a 310 311 255
a 311 312 255
a 312 313 255
a 313 314 255
a 314 315 255
a 315 316 255
a 316 317 255
a 317 318 255
a 318 319 255
a 319 320 255
a 320 321 255
a 321 322 255
a 322 323 255
a 323 324 255
a 324 325 255
a 325 326 255
a 326 327 255
a 327 328 255
a 328 329 255
a 329 330 255
a 330 331 255
a 331 332 255
a 332 333 255
a 333 334 255
a 334 335 255
a 335 336 255
a 336 337 255
a 337 338 255
a 338 339 255
a 339 340 255
a 340 341 255
a 341 342 255
a 342 343 255
a 343 344 255
a 344 345 255
a 345 346 255
a 346 347 255
a 347 348 255
a 348 349 255
a 349 350 255
a 350 351 255
a 351 352 255
a 352 353 255
a 353 354 255
a 354 355 255
a 355 356 255
a 356 357 255
a 357 358 255
a 358 359 255
a 359 360 255
a 360 361 255
a 361 362 255
a 362 363 255
a 363 364 255
a 364 365 255
a 365 366 255
a 366 367 255
a 367 368 255
a 368 369 255
a 369 370 255
a 370 371 255
a 371 372 255
a 372 373 255
a 373 374 255
a 374 375 255
a 375 376 255
a 376 377 255
a 377 378 255
a 378 379 255
a 379 380 255
a 380 381 255
a 381 382 255
a 382 383 255
a 383 384 255
a 384 385 255
a 385 386 255
a 386 387 255
a 387 388 255
a 388 389 255
a 389 390 255
a 390 391 255
a 391 392 255
a 392 393 255
a 393 394 255
a 394 395 255
a 395 396 255
a 396 397 255
a 397 398 255
a 398 399 255
a 399 400 255
a 400 401 255
a 401 402 255
a 402 403 255
a 403 404 255
a 404 405 255
a 405 406 255
a 406 407 255
a 407 408 255
a 408 409 255
a 409 410 255
a 410 411 255
a 411 412 255
a 412 413 255
a 413 414 255
a 414 415 255
a 415 416 255
a 416 417 255
a 417 418 255
a 418 419 255
a 419 420 255
a 420 421 255
a 421 422 255
a 422 423 255
a 423 424 255
a 424 425 255
a 425 426 255
a 426 427 255
a 427 428 255
a 428 429 255
a 429 430 255
a 430 431 255
a 431 432 255
a 432 433 255
a 433 434 255
a 434 435 255
a 435 436 255
a 436 437 255
a 437 438 255
a 438 439 255
a 439 440 255
a 440 441 255
a 441 442 255
a 442 443 255
a 443 444 255
a 444 445 255
a 445 446 255
a 446 447 255
a 447 448 255
a 448 449 255
a 449 450 255
a 450 451 255
a 451 452 255
a 452 453 255
a 453 454 255
a 454 455 255
a 455 456 255
a 456 457 255
a 457 458 255
a 458 459 255
a 459 460 255
a 460 461 255
a 461 462 255
a 462 463 255
a 463 464 255
a 464 465 255
a 465 466 255
a 466 467 255
a 467 468 255
a 468 469 255
a 469 470 255
a 470 471 255
a 471 472 255
a 472 473 255
a 473 474 255
a 474 475 255
a 475 476 255
a 476 477 255
a 477 478 255
a 478 479 255
a 479 480 255
a 480 481 255
a 481 482 255
a 482 483 255
a 483 484 255
a 484 485 255
a 485 486 255
a 486 487 255
a 487 488 255
a 488 489 255
a 489 490 255
a 490 491 255
a 491 492 255
a 492 493 255
a 493 494 255
a 494 495 255
a 495 496 255
a 496 497 255
a 497 498 255
a 498 499 255
a 499 500 255
a 500 501 255
a 501 502 255
a 502 503 255
a 503 504 255
a 504 505 255
a 505 506 255
a 506 507 255
a 507 508 255
a 508 509 255
a 509 510 255
a 510 511 255
a 511 512 255

a 513 514 254
a 514 515 254
a 515 516 254
a 516 517 254
a 517 518 254
a 518 519 254
a 519 520 254
a 520 521 254
a 521 522 254
a 522 523 254
a 523 524 254
a 524 525 254
a 525 526 254
a 526 527 254
a 527 528 254
a 528 529 254
a 529 530 254
a 530 531 254
a 531 532 254
a 532 533 254
a 533 534 254
a 534 535 254
a 535 536 254
a 536 537 254
a 537 538 254
a 538 539 254
a 539 540 254
a 540 541 254
a 541 542 254
a 542 543 254
a 543 544 254
a 544 545 254
a 545 546 254
a 546 547 254
a 547 548 254
a 548 549 254
a 549 550 254
a 550 551 254
a 551 552 254
a 552 553 254
a 553 554 254
a 554 555 254
a 555 556 254
a 556 557 254
a 557 558 254
a 558 559 254
a 559 560 254
a 560 561 254
a 561 562 254
a 562 563 254
a 563 564 254
a 564 565 254
a 565 566 254
a 566 567 254
a 567 568 254
a 568 569 254
a 569 570 254
a 570 571 254
a 571 572 254
a 572 573 254
a 573 574 254
a 574 575 254
a 575 576 254
a 576 577 254
a 577 578 254
a 578 579 254
a 579 580 254
a 580 581 254
a 581 582 254
a 582 583 254
a 583 584 254
a 584 585 254
a 585 586 254
a 586 587 254
a 587 588 254
a 588 589 254
a 589 590 254
a 590 591 254
a 591 592 254
a 592 593 254
a 593 594 254
a 594 595 254
a 595 596 254
a 596 597 254
a 597 598 254
a 598 599 254
a 599 600 254
a 600 601 254
a 601 602 254
a 602 603 254
a 603 604 254
a 604 605 254
a 605 606 254
a 606 607 254
a 607 608 254
a 608 609 254
a 609 610 254
a 610 611 254
a 611 612 254
a 612 613 254
a 613 614 254
a 614 615 254
a 615 616 254
a 616 617 254
a 617 618 254
a 618 619 254
a 619 620 254
a 620 621 254
a 621 622 254
a 622 623 254
a 623 624 254
a 624 625 254
a 625 626 254
a 626 627 254
a 627 628 254
a 628 629 254
a 629 630 254
a 630 631 254
a 631 632 254
a 632 633 254
a 633 634 254
a 634 635 254
a 635 636 254
a 636 637 254
a 637 638 254
a 638 639 254
a 639 640 254
a 640 641 254
a 641 642 254
a 642 643 254
a 643 644 254
a 644 645 254
a 645 646 254
a 646 647 254
a 647 648 254
a 648 649 254
a 649 650 254
a 650 651 254
a 651 652 254
a 652 653 254
a 653 654 254
a 654 655 254
a 655 656 254
a 656 657 254
a 657 658 254
a 658 659 254
a 659 660 254
a 660 661 254
a 661 662 254
a 662 663 254
a 663 664 254
a 664 665 254
a 665 666 254
a 666 667 254
a 667 668 254
a 668 669 254
a 669 670 254
a 670 671 254
a 671 672 254
a 672 673 254
a 673 674 254
a 674 675 254
a 675 676 254
a 676 677 254
a 677 678 254
a 678 679 254
a 679 680 254
a 680 681 254
a 681 682 254
a 682 683 254
a 683 684 254
a 684 685 254
a 685 686 254
a 686 687 254
a 687 688 254
a 688 689 254
a 689 690 254
a 690 691 254
a 691 692 254
a 692 693 254
a 693 694 254
a 694 695 254
a 695 696 254
a 696 697 254
a 697 698 254
a 698 699 254
a 699 700 254
a 700 701 254
a 701 702 254
a 702 703 254
a 703 704 254
a 704 705 254
a 705 706 254
a 706 707 254
a 707 708 254
a 708 709 254
a 709 710 254
a 710 711 254
a 711 712 254
a 712 713 254
a 713 714 254
a 714 715 254
a 715 716 254
a 716 717 254
a 717 718 254
a 718 719 254
a 719 720 254
a 720 721 254
a 721 722 254
a 722 723 254
a 723 724 254
a 724 725 254
a 725 726 254
a 726 727 254
a 727 728 254
a 728 729 254
a 729 730 254
a 730 731 254
a 731 732 254
a 732 733 254
a 733 734 254
a 734 735 254
a 735 736 254
a 736 737 254
a 737 738 254
a 738 739 254
a 739 740 254
a 740 741 254
a 741 742 254
a 742 743 254
a 743 744 254
a 744 745 254
a 745 746 254
a 746 747 254
a 747 748 254
a 748 749 254
a 749 750 254
a 750 751 254
a 751 752 254
a 752 753 254
a 753 754 254
a 754 755 254
a 755 756 254
a 756 757 254
a 757 758 254
a 758 759 254
a 759 760 254
a 760 761 254
a 761 762 254
a 762 763 254
a 763 764 254
a 764 765 254
a 765 766 254
a 766 767 254
a 767 768 254
a 768 769 254
a 769 770 254
a 770 771 254
a 771 772 254
a 772 773 254
a 773 774 254
a 774 775 254
a 775 776 254
a 776 777 254
a 777 778 254
a 778 779 254
a 779 780 254
a 780 781 254
a 781 782 254
a 782 783 254
a 783 784 254
a 784 785 254
a 785 786 254
a 786 787 254
a 787 788 254
a 788 789 254
a 789 790 254
a 790 791 254
a 791 792 254
a 792 793 254
a 793 794 254
a 794 795 254
a 795 796 254
a 796 797 254
a 797 798 254
a 798 799 254
a 799 800 254
a 800 801 254
a 801 802 254
a 802 803 254
a 803 804 254
a 804 805 254
a 805 806 254
a 806 807 254
a 807 808 254
a 808 809 254
a 809 810 254
a 810 811 254
a 811 812 254
a 812 813 254
a 813 814 254
a 814 815 254
a 815 816 254
a 816 817 254
a 817 818 254
a 818 819 254
a 819 820 254
a 820 821 254
a 821 822 254
a 822 823 254
a 823 824 254
a 824 825 254
a 825 826 254
a 826 827 254
a 827 828 254
a 828 829 254
a 829 830 254
a 830 831 254
a 831 832 254
a 832 833 254
a 833 834 254
a 834 835 254
a 835 836 254
a 836 837 254
a 837 838 254
a 838 839 254
a 839 840 254
a 840 841 254
a 841 842 254
a 842 843 254
a 843 844 254
a 844 845 254
a 845 846 254
a 846 847 254
a 847 848 254
a 848 849 254
a 849 850 254
a 850 851 254
a 851 852 254
a 852 853 254
a 853 854 254
a 854 855 254
a 855 856 254
a 856 857 254
a 857 858 254
a 858 859 254
a 859 860 254
a 860 861 254
a 861 862 254
a 862 863 254
a 863 864 254
a 864 865 254
a 865 866 254
a 866 867 254
a 867 868 254
a 868 869 254
a 869 870 254
a 870 871 254
a 871 872 254
a 872 873 254
a 873 874 254
a 874 875 254
a 875 876 254
a 876 877 254
a 877 878 254
a 878 879 254
a 879 880 254
a 880 881 254
a 881 882 254
a 882 883 254
a 883 884 254
a 884 885 254
a 885 886 254
a 886 887 254
a 887 888 254
a 888 889 254
a 889 890 254
a 890 891 254
a 891 892 254
a 892 893 254
a 893 894 254
a 894 895 254
a 895 896 254
a 896 897 254
a 897 898 254
a 898 899 254
a 899 900 254
a 900 901 254
a 901 902 254
a 902 903 254
a 903 904 254
a 904 905 254
a 905 906 254
a 906 907 254
a 907 908 254
a 908 909 254
a 909 910 254
a 910 911 254
a 911 912 254
a 912 913 254
a 913 914 254
a 914 915 254
a 915 916 254
a 916 917 254
a 917 918 254
a 918 919 254
a 919 920 254
a 920 921 254
a 921 922 254
a 922 923 254
a 923 924 254
a 924 925 254
a 925 926 254
a 926 927 254
a 927 928 254
a 928 929 254
a 929 930 254
a 930 931 254
a 931 932 254
a 932 933 254
a 933 934 254
a 934 935 254
a 935 936 254
a 936 937 254
a 937 938 254
a 938 939 254
a 939 940 254
a 940 941 254
a 941 942 254
a 942 943 254
a 943 944 254
a 944 945 254
a 945 946 254
a 946 947 254
a 947 948 254
a 948 949 254
a 949 950 254
a 950 951 254
a 951 952 254
a 952 953 254
a 953 954 254
a 954 955 254
a 955 956 254
a 956 957 254
a 957 958 254
a 958 959 254
a 959 960 254
a 960 961 254
a 961 962 254
a 962 963 254
a 963 964 254
a 964 965 254
a 965 966 254
a 966 967 254
a 967 968 254
a 968 969 254
a 969 970 254
a 970 971 254
a 971 972 254
a 972 973 254
a 973 974 254
a 974 975 254
a 975 976 254
a 976 977 254
a 977 978 254
a 978 979 254
a 979 980 254
a 980 981 254
a 981 982 254
a 982 983 254
a 983 984 254
a 984 985 254
a 985 986 254
a 986 987 254
a 987 988 254
a 988 989 254
a 989 990 254
a 990 991 254
a 991 992 254
a 992 993 254
a 993 994 254
a 994 995 254
a 995 996 254
a 996 997 254
a 997 998 254
a 998 999 254
a 999 1000 254
a 1000 1001 254
a 1001 1002 254
a 1002 1003 254
a 1003 1004 254
a 1004 1005 254
a 1005 1006 254
a 1006 1007 254
a 1007 1008 254
a 1008 1009 254
a 1009 1010 254
a 1010 1011 254
a 1011 1012 254
a 1012 1013 254
a 1013 1014 254
a 1014 1015 254
a 1015 1016 254
a 1016 1017 254
a 1017 1018 254
a 1018 1019 254
a 1019 1020 254
a 1020 1021 254
a 1021 1022 254

a 513 1022 1
a 514 1021 1
a 515 1020 1
a 516 1019 1
a 517 1018 1
a 518 1017 1
a 519 1016 1
a 520 1015 1
a 521 1014 1
a 522 1013 1
a 523 1012 1
a 524 1011 1
a 525 1010 1
a 526 1009 1
a 527 1008 1
a 528 1007 1
a 529 1006 1
a 530 1005 1
a 531 1004 1
a 532 1003 1
a 533 1002 1
a 534 1001 1
a 535 1000 1
a 536 999 1
a 537 998 1
a 538 997 1
a 539 996 1
a 540 995 1
a 541 994 1
a 542 993 1
a 543 992 1
a 544 991 1
a 545 990 1
a 546 989 1
a 547 988 1
a 548 987 1
a 549 986 1
a 550 985 1
a 551 984 1
a 552 983 1
a 553 982 1
a 554 981 1
a 555 980 1
a 556 979 1
a 557 978 1
a 558 977 1
a 559 976 1
a 560 975 1
a 561 974 1
a 562 973 1
a 563 972 1
a 564 971 1
a 565 970 1
a 566 969 1
a 567 968 1
a 568 967 1
a 569 966 1
a 570 965 1
a 571 964 1
a 572 963 1
a 573 962 1
a 574 961 1
a 575 960 1
a 576 959 1
a 577 958 1
a 578 957 1
a 579 956 1
a 580 955 1
a 581 954 1
a 582 953 1
a 583 952 1
a 584 951 1
a 585 950 1
a 586 949 1
a 587 948 1
a 588 947 1
a 589 946 1
a 590 945 1
a 591 944 1
a 592 943 1
a 593 942 1
a 594 941 1
a 595 940 1
a 596 939 1
a 597 938 1
a 598 937 1
a 599 936 1
a 600 935 1
a 601 934 1
a 602 933 1
a 603 932 1
a 604 931 1
a 605 930 1
a 606 929 1
a 607 928 1
a 608 927 1
a 609 926 1
a 610 925 1
a 611 924 1
a 612 923 1
a 613 922 1
a 614 921 1
a 615 920 1
a 616 919 1
a 617 918 1
a 618 917 1
a 619 916 1
a 620 915 1
a 621 914 1
a 622 913 1
a 623 912 1
a 624 911 1
a 625 910 1
a 626 909 1
a 627 908 1
a 628 907 1
a 629 906 1
a 630 905 1
a 631 904 1
a 632 903 1
a 633 902 1
a 634 901 1
a 635 900 1
a 636 899 1
a 637 898 1
a 638 897 1
a 639 896 1
a 640 895 1
a 641 894 1
a 642 893 1
a 643 892 1
a 644 891 1
a 645 890 1
a 646 889 1
a 647 888 1
a 648 887 1
a 649 886 1
a 650 885 1
a 651 884 1
a 652 883 1
a 653 882 1
a 654 881 1
a 655 880 1
a 656 879 1
a 657 878 1
a 658 877 1
a 659 876 1
a 660 875 1
a 661 874 1
a 662 873 1
a 663 872 1
a 664 871 1
a 665 870 1
a 666 869 1
a 667 868 1
a 668 867 1
a 669 866 1
a 670 865 1
a 671 864 1
a 672 863 1
a 673 862 1
a 674 861 1
a 675 860 1
a 676 859 1
a 677 858 1
a 678 857 1
a 679 856 1
a 680 855 1
a 681 854 1
a 682 853 1
a 683 852 1
a 684 851 1
a 685 850 1
a 686 849 1
a 687 848 1
a 688 847 1
a 689 846 1
a 690 845 1
a 691 844 1
a 692 843 1
a 693 842 1
a 694 841 1
a 695 840 1
a 696 839 1
a 697 838 1
a 698 837 1
a 699 836 1
a 700 835 1
a 701 834 1
a 702 833 1
a 703 832 1
a 704 831 1
a 705 830 1
a 706 829 1
a 707 828 1
a 708 827 1
a 709 826 1
a 710 825 1
a 711 824 1
a 712 823 1
a 713 822 1
a 714 821 1
a 715 820 1
a 716 819 1
a 717 818 1
a 718 817 1
a 719 816 1
a 720 815 1
a 721 814 1
a 722 813 1
a 723 812 1
a 724 811 1
a 725 810 1
a 726 809 1
a 727 808 1
a 728 807 1
a 729 806 1
a 730 805 1
a 731 804 1
a 732 803 1
a 733 802 1
a 734 801 1
a 735 800 1
a 736 799 1
a 737 798 1
a 738 797 1
a 739 796 1
a 740 795 1
a 741 794 1
a 742 793 1
a 743 792 1
a 744 791 1
a 745 790 1
a 746 789 1
a 747 788 1
a 748 787 1
a 749 786 1
a 750 785 1
a 751 784 1
a 752 783 1
a 753 782 1
a 754 781 1
a 755 780 1
a 756 779 1
a 757 778 1
a 758 777 1
a 759 776 1
a 760 775 1
a 761 774 1
a 762 773 1
a 763 772 1
a 764 771 1
a 765 770 1
a 766 769 1
a 1 3 100000
a 1 513 100000
a 512 2 100000
a 1022 2 100000
